posted_on,total_posts
2022-01-01,56.0
2022-01-02,49.0
2022-01-03,79.0
2022-01-04,43.0
2022-01-05,80.0
2022-01-06,113.0
2022-01-07,77.0
2022-01-08,76.0
2022-01-09,66.0
2022-01-10,63.0
2022-01-11,60.0
2022-01-12,65.0
2022-01-13,54.0
2022-01-14,70.0
2022-01-15,53.0
2022-01-16,45.0
2022-01-17,50.0
2022-01-18,49.0
2022-01-19,53.0
2022-01-20,64.0
2022-01-21,112.0
2022-01-22,120.0
2022-01-23,89.0
2022-01-24,94.0
2022-01-25,78.0
2022-01-26,93.0
2022-01-27,63.0
2022-01-28,58.0
2022-01-29,56.0
2022-01-30,58.0
2022-01-31,47.0
2022-02-01,63.0
2022-02-02,50.0
2022-02-03,43.0
2022-02-04,58.0
2022-02-05,56.0
2022-02-06,45.0
2022-02-07,64.0
2022-02-08,46.0
2022-02-09,46.0
2022-02-10,71.0
2022-02-11,49.0
2022-02-12,35.0
2022-02-13,53.0
2022-02-14,49.0
2022-02-15,69.0
2022-02-16,54.0
2022-02-17,63.0
2022-02-18,63.0
2022-02-19,60.0
2022-02-20,60.0
2022-02-21,63.0
2022-02-22,58.0
2022-02-23,45.0
2022-02-24,78.0
2022-02-25,56.0
2022-02-26,38.0
2022-02-27,42.0
2022-02-28,66.0
2022-03-01,52.0
2022-03-02,53.0
2022-03-03,44.0
2022-03-04,38.0
2022-03-05,25.0
2022-03-06,42.0
2022-03-07,41.0
2022-03-08,59.0
2022-03-09,45.0
2022-03-10,54.0
2022-03-11,37.0
2022-03-12,32.0
2022-03-13,37.0
2022-03-14,37.0
2022-03-15,42.0
2022-03-16,45.0
2022-03-17,48.0
2022-03-18,37.0
2022-03-19,42.0
2022-03-20,41.0
2022-03-21,45.0
2022-03-22,42.0
2022-03-23,37.0
2022-03-24,41.0
2022-03-25,40.0
2022-03-26,43.0
2022-03-27,40.0
2022-03-28,53.0
2022-03-29,43.0
2022-03-30,37.0
2022-03-31,57.0
2022-04-01,46.0
2022-04-02,43.0
2022-04-03,42.0
2022-04-04,42.0
2022-04-05,51.0
2022-04-06,50.0
2022-04-07,57.0
2022-04-08,65.0
2022-04-09,45.0
2022-04-10,33.0
2022-04-11,61.0
2022-04-12,59.0
2022-04-13,41.0
2022-04-14,61.0
2022-04-15,51.0
2022-04-16,36.0
2022-04-17,31.0
2022-04-18,33.0
2022-04-19,44.0
2022-04-20,40.0
2022-04-21,43.0
2022-04-22,46.0
2022-04-23,32.0
2022-04-24,39.0
2022-04-25,42.0
2022-04-26,24.0
2022-04-27,39.0
2022-04-28,41.0
2022-04-29,46.0
2022-04-30,24.0
2022-05-01,45.0
2022-05-02,36.0
2022-05-03,33.0
2022-05-04,39.0
2022-05-05,48.0
2022-05-06,38.0
2022-05-07,35.0
2022-05-08,43.0
2022-05-09,50.0
2022-05-10,54.0
2022-05-11,69.0
2022-05-12,104.0
2022-05-13,75.0
2022-05-14,51.0
2022-05-15,46.0
2022-05-16,51.0
2022-05-17,46.0
2022-05-18,54.0
2022-05-19,41.0
2022-05-20,41.0
2022-05-21,37.0
2022-05-22,39.0
2022-05-23,36.0
2022-05-24,55.0
2022-05-25,32.0
2022-05-26,35.0
2022-05-27,33.0
2022-05-28,33.0
2022-05-29,35.0
2022-05-30,31.0
2022-05-31,29.0
2022-06-01,44.0
2022-06-02,33.0
2022-06-03,38.0
2022-06-04,23.0
2022-06-05,37.0
2022-06-06,47.0
2022-06-07,56.0
2022-06-08,27.0
2022-06-09,38.0
2022-06-10,36.0
2022-06-11,28.0
2022-06-12,29.0
2022-06-13,120.0
2022-06-14,118.0
2022-06-15,96.0
2022-06-16,65.0
2022-06-17,70.0
2022-06-18,130.0
2022-06-19,107.0
2022-06-20,52.0
2022-06-21,51.0
2022-06-22,50.0
2022-06-23,58.0
2022-06-24,35.0
2022-06-25,27.0
2022-06-26,34.0
2022-06-27,41.0
2022-06-28,41.0
2022-06-29,39.0
2022-06-30,56.0
2022-07-01,46.0
2022-07-02,51.0
2022-07-03,36.0
2022-07-04,41.0
2022-07-05,36.0
2022-07-06,34.0
2022-07-07,41.0
2022-07-08,47.0
2022-07-09,24.0
2022-07-10,24.0
2022-07-11,33.0
2022-07-12,57.0
2022-07-13,33.0
2022-07-14,35.0
2022-07-15,41.0
2022-07-16,43.0
2022-07-17,33.0
2022-07-18,32.0
2022-07-19,47.0
2022-07-20,51.0
2022-07-21,36.0
2022-07-22,21.0
2022-07-23,24.0
2022-07-24,26.0
2022-07-25,43.0
2022-07-26,38.0
2022-07-27,40.0
2022-07-28,40.0
2022-07-29,34.0
2022-07-30,33.0
2022-07-31,29.0
2022-08-01,35.0
2022-08-02,33.0
2022-08-03,42.0
2022-08-04,43.0
2022-08-05,40.0
2022-08-06,32.0
2022-08-07,20.0
2022-08-08,30.0
2022-08-09,32.0
2022-08-10,35.0
2022-08-11,37.0
2022-08-12,27.0
2022-08-13,26.0
2022-08-14,35.0
2022-08-15,31.0
2022-08-16,32.0
2022-08-17,28.0
2022-08-18,35.0
2022-08-19,20.0
2022-08-20,25.0
2022-08-21,32.0
2022-08-22,26.0
2022-08-23,32.0
2022-08-24,26.0
2022-08-25,31.0
2022-08-26,29.0
2022-08-27,23.0
2022-08-28,19.0
2022-08-29,28.0
2022-08-30,24.0
2022-08-31,37.0
2022-09-01,28.0
2022-09-02,26.0
2022-09-03,32.0
2022-09-04,20.0
2022-09-05,26.0
2022-09-06,25.0
2022-09-07,24.0
2022-09-08,21.0
2022-09-09,28.0
2022-09-10,19.0
2022-09-11,20.0
2022-09-12,31.0
2022-09-13,17.0
2022-09-14,28.0
2022-09-15,18.0
2022-09-16,26.0
2022-09-17,24.0
2022-09-18,13.0
2022-09-19,26.0
2022-09-20,24.0
2022-09-21,31.0
2022-09-22,30.0
2022-09-23,15.0
2022-09-24,23.0
2022-09-25,13.0
2022-09-26,29.0
2022-09-27,37.0
2022-09-28,30.0
2022-09-29,26.0
2022-09-30,37.0
2022-10-01,36.0
2022-10-02,30.0
2022-10-03,29.0
2022-10-04,32.0
2022-10-05,28.0
2022-10-06,32.0
2022-10-07,27.0
2022-10-08,11.0
2022-10-09,25.0
2022-10-10,29.0
2022-10-11,32.0
2022-10-12,26.0
2022-10-13,39.0
2022-10-14,23.0
2022-10-15,26.0
2022-10-16,19.0
2022-10-17,34.0
2022-10-18,26.0
2022-10-19,31.0
2022-10-20,29.0
2022-10-21,21.0
2022-10-22,20.0
2022-10-23,29.0
2022-10-24,34.0
2022-10-25,34.0
2022-10-26,31.0
2022-10-27,26.0
2022-10-28,16.0
2022-10-29,22.0
2022-10-30,16.0
2022-10-31,25.0
2022-11-01,22.0
2022-11-02,24.0
2022-11-03,29.0
2022-11-04,25.0
2022-11-05,22.0
2022-11-06,10.0
2022-11-07,23.0
2022-11-08,33.0
2022-11-09,74.0
2022-11-10,63.0
2022-11-11,55.0
2022-11-12,49.0
2022-11-13,59.0
2022-11-14,70.0
2022-11-15,55.0
2022-11-16,64.0
2022-11-17,54.0
2022-11-18,60.0
2022-11-19,45.0
2022-11-20,46.0
2022-11-21,50.0
2022-11-22,54.0
2022-11-23,56.0
2022-11-24,40.0
2022-11-25,44.0
2022-11-26,38.0
2022-11-27,44.0
2022-11-28,52.0
2022-11-29,70.0
2022-11-30,28.0
2022-12-01,27.0
2022-12-02,46.0
2022-12-03,30.0
2022-12-04,29.0
2022-12-05,37.0
2022-12-06,50.0
2022-12-07,53.0
2022-12-08,45.0
2022-12-09,37.0
2022-12-10,49.0
2022-12-11,71.0
2022-12-12,73.0
2022-12-13,58.0
2022-12-14,61.0
2022-12-15,35.0
2022-12-16,54.0
2022-12-17,46.0
2022-12-18,40.0
2022-12-19,32.0
2022-12-20,37.0
2022-12-21,40.0
2022-12-22,27.0
2022-12-23,39.0
2022-12-24,33.0
2022-12-25,37.0
2022-12-26,39.0
2022-12-27,28.0
2022-12-28,54.0
2022-12-29,44.0
2022-12-30,46.0
2022-12-31,27.0
